Variable,Unit,Country,Year,Value,Flags
"Measles","% of children immunised","Australia","2000",91,
"Measles","% of children immunised","Australia","2001",92,
"Measles","% of children immunised","Australia","2002",93,
"Measles","% of children immunised","Australia","2003",94,
"Measles","% of children immunised","Australia","2004",93,
"Measles","% of children immunised","Australia","2005",94,
"Measles","% of children immunised","Australia","2006",94,
"Measles","% of children immunised","Australia","2007",94,
"Measles","% of children immunised","Australia","2008",94,
"Measles","% of children immunised","Australia","2009",94,
"Measles","% of children immunised","Australia","2010",94,
"Measles","% of children immunised","Australia","2011",94,
"Measles","% of children immunised","Australia","2012",94,
"Influenza","% of population aged 65 years and over","Australia","2000",74,
"Influenza","% of population aged 65 years and over","Australia","2001",78,
"Influenza","% of population aged 65 years and over","Australia","2002",76.9,
"Influenza","% of population aged 65 years and over","Australia","2003",76.9,
"Influenza","% of population aged 65 years and over","Australia","2004",79.1,
"Influenza","% of population aged 65 years and over","Australia","2006",77.5,
"Influenza","% of population aged 65 years and over","Australia","2009",74.6,
"Hepatitis B","% of children immunised","Austria","2000",33,
"Hepatitis B","% of children immunised","Austria","2001",44,
"Hepatitis B","% of children immunised","Austria","2002",81,
"Hepatitis B","% of children immunised","Austria","2003",83,
"Hepatitis B","% of children immunised","Austria","2004",83,
"Hepatitis B","% of children immunised","Austria","2005",86,
"Hepatitis B","% of children immunised","Austria","2006",83,
"Hepatitis B","% of children immunised","Austria","2007",85,
"Hepatitis B","% of children immunised","Austria","2008",83,
"Hepatitis B","% of children immunised","Austria","2009",83,
"Hepatitis B","% of children immunised","Austria","2010",83,
"Hepatitis B","% of children immunised","Austria","2011",83,
"Hepatitis B","% of children immunised","Austria","2012",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1980",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1981",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1982",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1983",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1984",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1985",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1986",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1987",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1988",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1989",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1990",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1991",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1992",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1993",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1994",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1995",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1996",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1997",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1998",82,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","1999",74,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2000",81,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2001",84,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2002",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2003",84,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2004",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2005",86,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2006",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2007",85,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2008",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2009",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2010",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2011",83,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Austria","2012",83,
"Measles","% of children immunised","Austria","1981",25,
"Measles","% of children immunised","Austria","1982",25,
"Measles","% of children immunised","Austria","1983",25,
"Measles","% of children immunised","Austria","1984",30,
"Measles","% of children immunised","Austria","1985",40,
"Measles","% of children immunised","Austria","1986",60,
"Measles","% of children immunised","Austria","1987",60,
"Measles","% of children immunised","Austria","1988",60,
"Measles","% of children immunised","Austria","1989",60,
"Measles","% of children immunised","Austria","1990",60,
"Measles","% of children immunised","Austria","1991",60,
"Measles","% of children immunised","Austria","1992",60,
"Measles","% of children immunised","Austria","1993",60,
"Measles","% of children immunised","Austria","1994",60,
"Measles","% of children immunised","Austria","1995",60,
"Measles","% of children immunised","Austria","1996",87,
"Measles","% of children immunised","Austria","1997",90,
"Measles","% of children immunised","Austria","1998",78,
"Measles","% of children immunised","Austria","1999",65,
"Measles","% of children immunised","Austria","2000",75,
"Measles","% of children immunised","Austria","2001",79,
"Measles","% of children immunised","Austria","2002",78,
"Measles","% of children immunised","Austria","2003",79,
"Measles","% of children immunised","Austria","2004",74,
"Measles","% of children immunised","Austria","2005",75,
"Measles","% of children immunised","Austria","2006",80,
"Measles","% of children immunised","Austria","2007",79,
"Measles","% of children immunised","Austria","2008",83,
"Measles","% of children immunised","Austria","2009",76,
"Measles","% of children immunised","Austria","2010",76,
"Measles","% of children immunised","Austria","2011",76,
"Measles","% of children immunised","Austria","2012",76,
"Influenza","% of population aged 65 years and over","Austria","2006",36.1,
"Hepatitis B","% of children immunised","Belgium","1997",2,
"Hepatitis B","% of children immunised","Belgium","1998",31,
"Hepatitis B","% of children immunised","Belgium","1999",46,
"Hepatitis B","% of children immunised","Belgium","2000",60,
"Hepatitis B","% of children immunised","Belgium","2001",60,
"Hepatitis B","% of children immunised","Belgium","2002",60,
"Hepatitis B","% of children immunised","Belgium","2003",65,
"Hepatitis B","% of children immunised","Belgium","2004",65,
"Hepatitis B","% of children immunised","Belgium","2005",77,
"Hepatitis B","% of children immunised","Belgium","2006",94,
"Hepatitis B","% of children immunised","Belgium","2007",94,
"Hepatitis B","% of children immunised","Belgium","2008",98,
"Hepatitis B","% of children immunised","Belgium","2009",97,
"Hepatitis B","% of children immunised","Belgium","2010",97,
"Hepatitis B","% of children immunised","Belgium","2011",97,
"Hepatitis B","% of children immunised","Belgium","2012",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1980",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1981",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1982",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1983",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1984",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1985",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1986",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1987",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1988",80,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1989",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1990",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1991",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1992",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1993",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1994",96,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1995",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1996",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1997",87,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1998",79,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","1999",87,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2000",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2001",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2002",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2003",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2004",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2005",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2006",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2007",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2008",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2009",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2010",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2011",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Belgium","2012",99,
"Measles","% of children immunised","Belgium","1981",50,
"Measles","% of children immunised","Belgium","1982",58,
"Measles","% of children immunised","Belgium","1983",66,
"Measles","% of children immunised","Belgium","1984",74,
"Measles","% of children immunised","Belgium","1985",82,
"Measles","% of children immunised","Belgium","1986",90,
"Measles","% of children immunised","Belgium","1987",50,
"Measles","% of children immunised","Belgium","1988",75,
"Measles","% of children immunised","Belgium","1989",75,
"Measles","% of children immunised","Belgium","1990",85,
"Measles","% of children immunised","Belgium","1991",67,
"Measles","% of children immunised","Belgium","1992",87,
"Measles","% of children immunised","Belgium","1993",70,
"Measles","% of children immunised","Belgium","1994",78,
"Measles","% of children immunised","Belgium","1995",85,
"Measles","% of children immunised","Belgium","1996",73,
"Measles","% of children immunised","Belgium","1997",76,
"Measles","% of children immunised","Belgium","1998",80,
"Measles","% of children immunised","Belgium","1999",82,
"Measles","% of children immunised","Belgium","2000",82,
"Measles","% of children immunised","Belgium","2001",82,
"Measles","% of children immunised","Belgium","2002",82,
"Measles","% of children immunised","Belgium","2003",82,
"Measles","% of children immunised","Belgium","2004",82,
"Measles","% of children immunised","Belgium","2005",88,
"Measles","% of children immunised","Belgium","2006",92,
"Measles","% of children immunised","Belgium","2007",92,
"Measles","% of children immunised","Belgium","2008",93,
"Measles","% of children immunised","Belgium","2009",95,
"Measles","% of children immunised","Belgium","2010",95,
"Measles","% of children immunised","Belgium","2011",95,
"Measles","% of children immunised","Belgium","2012",96,
"Influenza","% of population aged 65 years and over","Belgium","2001",58,
"Influenza","% of population aged 65 years and over","Belgium","2004",64,
"Influenza","% of population aged 65 years and over","Belgium","2008",65,
"Hepatitis B","% of children immunised","Canada","2003",14,
"Hepatitis B","% of children immunised","Canada","2004",14,
"Hepatitis B","% of children immunised","Canada","2005",14,
"Hepatitis B","% of children immunised","Canada","2006",14,
"Hepatitis B","% of children immunised","Canada","2007",14,
"Hepatitis B","% of children immunised","Canada","2008",28,
"Hepatitis B","% of children immunised","Canada","2009",42,
"Hepatitis B","% of children immunised","Canada","2010",56,
"Hepatitis B","% of children immunised","Canada","2011",70,
"Hepatitis B","% of children immunised","Canada","2012",70,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1987",85,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1988",86,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1989",87,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1990",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1991",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1992",89,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1993",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1994",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1995",87,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1996",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1997",86,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1998",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","1999",91,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2000",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2001",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2002",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2003",91,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2004",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2005",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2006",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2007",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2008",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2009",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2010",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2011",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Canada","2012",95,
"Measles","% of children immunised","Canada","1987",70,
"Measles","% of children immunised","Canada","1988",85,
"Measles","% of children immunised","Canada","1989",87,
"Measles","% of children immunised","Canada","1990",89,
"Measles","% of children immunised","Canada","1991",92,
"Measles","% of children immunised","Canada","1992",94,
"Measles","% of children immunised","Canada","1993",96,
"Measles","% of children immunised","Canada","1994",97,
"Measles","% of children immunised","Canada","1995",96,
"Measles","% of children immunised","Canada","1996",97,
"Measles","% of children immunised","Canada","1997",96,
"Measles","% of children immunised","Canada","1998",96,
"Measles","% of children immunised","Canada","1999",96,
"Measles","% of children immunised","Canada","2000",96,
"Measles","% of children immunised","Canada","2001",95,
"Measles","% of children immunised","Canada","2002",95,
"Measles","% of children immunised","Canada","2003",95,
"Measles","% of children immunised","Canada","2004",94,
"Measles","% of children immunised","Canada","2005",94,
"Measles","% of children immunised","Canada","2006",94,
"Measles","% of children immunised","Canada","2007",94,
"Measles","% of children immunised","Canada","2008",95,
"Measles","% of children immunised","Canada","2009",96,
"Measles","% of children immunised","Canada","2010",97,
"Measles","% of children immunised","Canada","2011",98,
"Measles","% of children immunised","Canada","2012",98,
"Influenza","% of population aged 65 years and over","Canada","2000",63,
"Influenza","% of population aged 65 years and over","Canada","2003",67.2,
"Influenza","% of population aged 65 years and over","Canada","2005",70.9,
"Influenza","% of population aged 65 years and over","Canada","2007",69,
"Influenza","% of population aged 65 years and over","Canada","2008",66.6,
"Influenza","% of population aged 65 years and over","Canada","2009",66.5,
"Influenza","% of population aged 65 years and over","Canada","2010",59.4,
"Influenza","% of population aged 65 years and over","Canada","2011",64.4,
"Influenza","% of population aged 65 years and over","Canada","2012",64.1,
"Hepatitis B","% of children immunised","Czech Republic","2002",86,
"Hepatitis B","% of children immunised","Czech Republic","2003",92,
"Hepatitis B","% of children immunised","Czech Republic","2004",98,
"Hepatitis B","% of children immunised","Czech Republic","2005",99,
"Hepatitis B","% of children immunised","Czech Republic","2006",98,
"Hepatitis B","% of children immunised","Czech Republic","2007",99,
"Hepatitis B","% of children immunised","Czech Republic","2008",99,
"Hepatitis B","% of children immunised","Czech Republic","2009",99,
"Hepatitis B","% of children immunised","Czech Republic","2010",99,
"Hepatitis B","% of children immunised","Czech Republic","2011",99,
"Hepatitis B","% of children immunised","Czech Republic","2012",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","1993",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","1994",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","1995",96,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","1996",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","1997",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","1998",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","1999",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2000",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2001",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2002",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2003",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2004",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2005",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2006",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2007",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2008",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2009",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2010",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2011",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Czech Republic","2012",99,
"Measles","% of children immunised","Czech Republic","1993",98,
"Measles","% of children immunised","Czech Republic","1994",97,
"Measles","% of children immunised","Czech Republic","1995",96,
"Measles","% of children immunised","Czech Republic","1996",97,
"Measles","% of children immunised","Czech Republic","1997",96,
"Measles","% of children immunised","Czech Republic","1998",95,
"Measles","% of children immunised","Czech Republic","1999",97,
"Measles","% of children immunised","Czech Republic","2000",98,
"Measles","% of children immunised","Czech Republic","2001",98,
"Measles","% of children immunised","Czech Republic","2002",99,
"Measles","% of children immunised","Czech Republic","2003",99,
"Measles","% of children immunised","Czech Republic","2004",97,
"Measles","% of children immunised","Czech Republic","2005",97,
"Measles","% of children immunised","Czech Republic","2006",98,
"Measles","% of children immunised","Czech Republic","2007",98,
"Measles","% of children immunised","Czech Republic","2008",97,
"Measles","% of children immunised","Czech Republic","2009",98,
"Measles","% of children immunised","Czech Republic","2010",98,
"Measles","% of children immunised","Czech Republic","2011",98,
"Measles","% of children immunised","Czech Republic","2012",98,
"Influenza","% of population aged 65 years and over","Czech Republic","2002",16.5,
"Influenza","% of population aged 65 years and over","Czech Republic","2008",22.1,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1980",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1981",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1982",87,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1983",86,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1984",86,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1985",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1986",89,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1987",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1988",87,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1989",89,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1990",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1991",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1992",91,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1993",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1994",89,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1995",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1996",77,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1997",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1998",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","1999",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2000",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2001",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2002",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2003",96,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2004",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2005",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2006",93,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2007",87,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2008",88,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2009",89,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2010",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2011",91,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Denmark","2012",94,
"Measles","% of children immunised","Denmark","1987",82,
"Measles","% of children immunised","Denmark","1988",72,
"Measles","% of children immunised","Denmark","1989",80,
"Measles","% of children immunised","Denmark","1990",84,
"Measles","% of children immunised","Denmark","1991",86,
"Measles","% of children immunised","Denmark","1992",85,
"Measles","% of children immunised","Denmark","1993",81,
"Measles","% of children immunised","Denmark","1994",88,
"Measles","% of children immunised","Denmark","1995",88,
"Measles","% of children immunised","Denmark","1996",85,
"Measles","% of children immunised","Denmark","1997",84,
"Measles","% of children immunised","Denmark","1998",91,
"Measles","% of children immunised","Denmark","1999",92,
"Measles","% of children immunised","Denmark","2000",99,
"Measles","% of children immunised","Denmark","2001",94,
"Measles","% of children immunised","Denmark","2002",95,
"Measles","% of children immunised","Denmark","2003",96,
"Measles","% of children immunised","Denmark","2004",96,
"Measles","% of children immunised","Denmark","2005",95,
"Measles","% of children immunised","Denmark","2006",90,
"Measles","% of children immunised","Denmark","2007",89,
"Measles","% of children immunised","Denmark","2008",87,
"Measles","% of children immunised","Denmark","2009",84,
"Measles","% of children immunised","Denmark","2010",85,
"Measles","% of children immunised","Denmark","2011",87,
"Measles","% of children immunised","Denmark","2012",90,
"Influenza","% of population aged 65 years and over","Denmark","2002",6.2,
"Influenza","% of population aged 65 years and over","Denmark","2003",19.9,
"Influenza","% of population aged 65 years and over","Denmark","2004",30.6,
"Influenza","% of population aged 65 years and over","Denmark","2005",34,
"Influenza","% of population aged 65 years and over","Denmark","2006",33.4,
"Influenza","% of population aged 65 years and over","Denmark","2007",39.3,
"Influenza","% of population aged 65 years and over","Denmark","2008",51,
"Influenza","% of population aged 65 years and over","Denmark","2009",48.5,
"Influenza","% of population aged 65 years and over","Denmark","2010",45.6,
"Influenza","% of population aged 65 years and over","Denmark","2011",45.8,
"Influenza","% of population aged 65 years and over","Denmark","2012",43.1,
"Influenza","% of population aged 65 years and over","Denmark","2013",45.6,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1980",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1981",92,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1982",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1983",94,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1984",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1985",96,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1986",97,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1987",98,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1988",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1989",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1990",90,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1991",95,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1992",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1993",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1994",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1995",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1996",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1997",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1998",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","1999",99,
"Diphtheria, Tetanus, Pertussis","% of children immunised","Finland","2000",99,
